0,1,2,3
-2.1,3,2.78,2.56
-2.0,1,0.93,5.13
-1.8,3,2.78,7.69
-1.7,1,0.93,10.26
-1.5,1,0.93,12.82
-1.4,2,1.85,15.38
-1.2,1,0.93,17.95
-1.1,1,0.93,20.51
-1.0,4,3.7,23.08
-0.9,2,1.85,25.64
-0.8,6,5.56,28.21
-0.7,5,4.63,30.77
-0.6,3,2.78,33.33
-0.5,6,5.56,35.9
-0.4,3,2.78,38.46
-0.3,4,3.7,41.03
-0.2,4,3.7,43.59
-0.1,3,2.78,46.15
0.0,3,2.78,48.72
0.1,4,3.7,51.28
0.2,6,5.56,53.85
0.3,3,2.78,56.41
0.4,6,5.56,58.97
0.5,1,0.93,61.54
0.6,3,2.78,64.1
0.7,4,3.7,66.67
0.8,1,0.93,69.23
0.9,3,2.78,71.79
1.0,4,3.7,74.36
1.1,2,1.85,76.92
1.2,4,3.7,79.49
1.4,1,0.93,82.05
1.5,1,0.93,84.62
1.6,2,1.85,87.18
1.7,2,1.85,89.74
1.8,2,1.85,92.31
1.9,1,0.93,94.87
2.0,1,0.93,97.44
2.1,1,0.93,100.0
